hervatting resumption
actualiseert endorsed
verleden past
buitenwoon extremely
gevaarlijk dangerous
sturen send
onverantwoordelijke irresponsible
eu eu
staten states
weigeren refuse
zei said
volatiel volatile
risico risk
militaire military
coup coup
toekomst future
beangstigende happening
producenten producers
winstbejag profit
koste expense
onschuldige innocent
enig any
gebeurtenis event
overgecentraliseerde presently
gemoedskwestie among
gedaan” requests
regiogebonden topical
urgente urgent
–hiermee item
verificatiesysteem verification
definitieve final
versie version
mccartneycampagne drawn
conferentie conference
voorzitters presidents
haar its
januari january
euinstrument pursuant
regels rules
procedure procedure
amendementen amendments
voorgestelde proposed
insluiten relating
maandag monday
dinsdag tuesday
group group
partij party
socialisten socialists
commissie commission
verklaring statement
strategische strategic
doelstellingen objectives
vijf five
jaren years
administratieve administrative
hervorming reform
crespo barón
crespo crespo
spreek speak
stel propose
euinspecteurs wishes
gebruikelijke usual
hoorzitting hearing
spreker speaker
neoprotectionisme favour
tegen against
prodi prodi
politieke political
programma programme
geïnitialiseerd legislature
aanvankelijk initially
unaniem unanimously
goedgekeurd approved
september september
expliciet explicitly
aanvaard accepted
herhaald reiterated
toezegging commitment
begrotingsinnovaties inaugural
toespraak speech
orgaan body
monopolie monopoly
verdragen treaties
coördinatierol basically
bok dictates
gestemd voted
uiten express
vertrouwen confidence
toestond did
juli july
goedkeuren approve
genoeg enough
bereiden prepare
geworden become
richtlijnontwerpen familiar
uitleggen explain
burgers citizens
eind end
herinneren remind
resolutie resolution
aanbevolen recommended
spoedig soon
mogelijke possible
gebeurtenissen events
subtypes originated
buitenkant outside
betekening being
gebruikt used
eenvoudigweg simply
noemde corroborate
ratificeren ratify
besluiten decisions
genomen taken
elders elsewhere
dilemma dilemma
klaar ready
opheldert clarify
gelang according
gelet given
vertegenwoordigd represented
stemlijst voting
hulp help
kon could
frankenstein let
hoe how
overeengekomen agreed
tweekamerstelsel alternatively
sommige some
stilstaat appear
loog suggesting
opinie opinion
tweede second
hypothese hypothesis
nietpositieve imply
mislukking failure
plicht duty
kostenverdeling introducing
oorspronkelijke original
weerlegt thesis
onbekende unknown
methode method
duitse” consists
enomomie making
fracties groups
schriftelijk writing
eerder earlier
dag day
china’beginsel bearing
verbroedert mind
besproken discussed
februari february
slaagde forego
horen hear
internet internet
langer longer
ultraconservatieve worry
toepassingsaangelegenheden believes
betekende meant
luisteren listen
weerspiegelen reflect
rechtvaardiging justification
keuren” whatsoever
vertraging delay
bijstandsbureau reestablish
overeenstemming agreement
tussen between
fruitproducten proceed
leerzaam manner
onderstreping fulfils
medeburgers fellow
genoemd mentioned
daarnaartoe otherwise
vind find
paradoxaal paradoxical
voorwendsel pretext
tekst text
intolerante hand
ontkend denied
kennis knowledge
teksten texts
gebaseerd based
discussiepunt issue
applaus applause
psefractie pse
bovenal above
absolute absolute
respect respect
communicatieprocedures amongst
frederika establishing
verkiezingscrisis whatever
beslissen decide
introduceren introduce
herinnerd reminded
toevoeging addition
jaarlijkse annual
brede broad
actie action
zeggen say
maximumprijs reached
erkki distinguished
voorbereid prepared
klampen hold
ongelijkwaardige whenever
waardedaling convenient
oorspronkelijk originally
parlementaire parliamentary
herhaal repeat
gedebatteerd debated
actieplan plan
kernregulators decides
uitenterna fully
verschil… upon
filigraanwerk ripple
gelach laughter
vertelde told
kwijtingsoperatie large
festival sections
socialistische socialist
buiten off
gewerkt working
verantwoordelijke responsible
correcte correct
higgins ppede
dankbaar grateful
wrikte removed
friedmann addressed
meerdere several
tijden times
belastingfraude tax
voortuin moves
poettering poettering
wurtz wurtz
doceert speaking
gebrek lack
logica logic
parochie preaching
overgestapt went
teruggaan back
speld perfectly
procentfilosofie doing
dezelfde same
unanieme unanimous
uitzondering exception
ppecoalitie ppe
eldrfractie eldr
parlementscommissies chairmen
borsa recall
ook even
kennend knowing
tobintaks tobin
aangedurfd dared
raad council
dachten thought
draaiend lot
mondelinge oral
bewaarde retained
organen bodies
begrotingssaldo regarding
relatief relatively
bescheiden modest
versaag give
nadat after
getij tide
gevoel feeling
gegenereerd generated
seattle seattle
hoofdstad capital
ingetrokken withdrawn
verworpen rejected
“nee”stemmen votes
onthoudingen abstentions
reclame advertising
geteld counted
alfabetiseringsniveau unable
elektronisch electronically
identiteitskaart card
toevoegen add
ongevoeliger declared
zichzelf themselves
resultaat result
raadsvoorzitterschap presidency
woonkamer room
dames ladies
heren… gentlemen
zie see
essentieel essential
involveren bring
cardsprogramma cards
sprekersvolgorde along
opzichtig clearly
probleem problem
vergat forgot
overwegen consider
per per
begrotingstoelagen allowances
ontschoten forgotten
temperatuurstijgingen noted
begrepen understood
applausja applausethe
grondwetshervormingen remain
getiteld entitled
vergeten forget
voortzetten continue
ordinary abide
oppressieve ruling
aangewezen indicated
vooruitbetalen advance
gebeuren happen
waardeer appreciate
nauwe close
grootkapitaal business
cynicus might
heiligen allowed
stemverklaring explanation
nuttige useful
optekenen record
staatssteun state
veranderingskracht perceive
eigen own
analyse analysis
heropenen reopen
gevraagd asked
handelsbeurs floor
reactie comment
conventievoorzitter crespo's
motie motion
laten leave
speet terribly
spijt sorry
hänsch hänsch
cox cox
“ethiopië” asking
denk think
leerwezen entered
minuten minutes
aannemen adopt
vandaag today
overdadige sitting
morgen tomorrow
uitgelegd explained
handzame workable
oplossing solution
nemen take
rekening account
aanvullende additional
stemverklaringen explanations
verbeteren better
dan than
schrijdt proceeding
tijdrovende timeconsuming
aanvaardbaar acceptable
strafregisters records
correct correctly
mógen cannot
bezwaar object
accepteren accept
bedenkingen reservations
betalen pay
formulering wording
noodzakelijke necessary
corrumpeert thus
geamendeerde amended
hoofdadviseurs advisers
vervoer transport
goederen goods
koch koch
regionale regional
toerisme tourism
beschouwing view
“dialoog” adopting
richtlijn directive
harmonisatie harmonisation
vooruitkijkend examination
vereisten requirements
verkeersveiligheid road
spoorvervoer rail
binnenwateren inland
waterwegen waterways
c c
cod cod
commissaris commissioner
abliek frank
gezegde saying
verwelkom welcome
halfzacht council's
harmoniseren harmonising
opleiding training
binnenvaart waterway
uitvoeringsverordeningen needed
formele formal
niveau level
eg ec
inleggen obliges
benoemen appoint
organiseren organise
geroyeerd instruction
tweede secondly
bereiken achieve
verhoging increase
zowel both
vervoerd transported
spp transhipped
b b
marktverstoringen distortions
concurrentie competition
verhogingspercentage resulting
reservoirs wide
variaties variations
nationale national
structuren structures
kosten costs
gelijke equal
kansen opportunities
labour’ labour
markt market
derde thirdly
momenteel currently
bommenwerpers stands
garanties guarantees
kantoorsfeer confines
zichzelf itself
exclusief exclusively
minimale minimum
normen standards
hoge high
vervuilend degree
flexibiliteit flexibility
verordening regulation
bijdragen contribute
vastleggen states'bearing
individuele individual
verantwoordelijkheid responsibility
subsidiariteit subsidiarity
wetenschaps greatly
verwelkomd welcomed
lezing reading
kwestieturkijecyprus satisfactorily
omgezet transposed
verandering change
stof substance
overeenkomstig corresponding
voorzieningsregeling arrangements
voorbeeld example
systeem system
schendingen violations
complexe complex
classificatie classification
structuur structure
aanverwante related
amendement amendment
bezorgdheid concerns
tijdschema timetable
uitvoeringsbevoegdheden implementing
dring urge
steun support
specifieke specific
uitvoer implement
contrasteert instead
begrotingstoelagen giving
drie three
inwerkingtreding entry
interventiemacht force
clausule clause
woordgebruik ensures
geïmplementeerd implemented
zonder without
afsplitsing endorse
opvolgt must
ooit ever
verkies frequently
ongevallen accidents
grillige causing
grootverbruiker major
schade damage
wegen roads
spoorwegen railways
minst least
grondwaterkwestie partly
betrokken involved
serieus seriously
onwetendheid ignorance
onderdeel part
chauffeurs drivers
anderen others
voertuigen vehicles
onbetekenend minor
vaak often
ramp disaster
oostenrijkse austrian
gedenkdag vivid
geheugen memory
catastrofe catastrophe
kostten cost
menselijke human
levens lives
tauerntunnel tauern
tunnel tunnel
alwaar where
daaropvolgende subsequent
werk work
hernemen rebuild
delen parts
verwoest destroyed
pressure continued
voetbalculturen huge
renovatie renovation
project project
boumedienne lasted
verbraken cut
route route
noorden north
zuiden south
europa europe
verkeersgegevens traffic
afraakten diverted
uitgerekt stretched
geduld patience
duizenden thousands
limiet limit
hel hell
mislukten broke
losse loose
gemeenten municipalities
provincie province
preventie prevention
antwoord answer
stap step
isolationistisch towards
mededingingsraad welltrained
beschikking available
goede good
inhoud content
betalingsbevelprocedure enacting
wet law
grotere greater
noodzaak need
coderen sure
allerbelangrijkst importantly
toegepast applied
laaide afterwards
ps yet
sector sector
begrotingsplafonds subsequently
klaagt lament
handhaving enforcement
sleutelvraag address
afscherming sealing
marktvolume hole
netto net
herstructureringsperiode shutting
aap eyes
context context
onderhandelingstafel table
overpeinzing continuing
veiliger safer
doorvoerland transit
tunnels tunnels
ervaring experience
zulk such
grootschaligheid scale
hart heart
eruitziet looks
adviseurs advisors
dierenvervoer transportation
feliciteer congratulate
uitstekende excellent
veelvoorkomend sadly
treinongeluk paddington
neerstorten crash
londen london
noorwegen norway
luchtvaart aviation
concorde crashes
coördinatieconferentie involving
erika erika
bretagne brittany
binnen within
vier four
nooit never
beval granted
mastercard charged
waterinitiatief protecting
brisante highly
pourgouridesverslag motivated
gekwalificeerde qualified
rapporteur rapporteur
aangaven pointed
zes six
tien ten
zetten put
voorwaarts forward
completering enactment
verstrekken provide
tool tool
strijd fight
veilige safe
initiatieven initiatives
verbeteren improve
ruimte area
recente recent
mahatma proved
langstlopende exceptionally
accurate accurate
technische technical
drnovšek submitted
presentieniveau pity
verstand sense
tvjournalisten needless
sleutelrol key
belang importance
internationale international
natuur nature
typen types
geharmoniseerde harmonised
verhaalmogelijkheden adr
onder under
manier way
redenen reasons
aangemaakt occurred
belgië belgium
nederland netherlands
vrachtwagens lorries
“essen”projecten carrying
drive drive
lozingsinstallaties foggy
voorwaarden conditions
echt really
neergehaald pulled
schepen ships
oostelijke eastern
dollands moor
veiligheidsniveaus adjacent
liggende obvious
risico risks
juridisering entails
kernfusiereactor furthermore
loterijwinnares transpired
onderzoek research
havens ports
finland finland
japan japan
containers containers
aardgasmarkt partially
namaakmerkgoederen cargo
betekening delivered
“tegenstrijdigheden shipment
korte short
dwanglicenties compulsory
vluchtelingenbescherming employ
bedrijven companies
problemen problems
informatiecommissie enforcing
pressure especially
kleinere smaller
permitteren afford
bandenvoorraden dispose
energiemix mix
oorzaken causes
isonorm iso
beroepsbekwaamheid certificates
omvatten include
detailkwesties finer
details details
activiteiten activities
verslagen reports
bedrijf company
analyses analyses
blijft remains
calvinist mention
uitenterna regard
monologen proper
overeenkomsten agreements
geconcludeerd concluded
binnenrijdt enter
conglomeraten deal
totdat until
kernfysicus eighteen
gangbare months'time
uitbreidingspakket gives
concurrerende competitive
snede edge
interimregering interim
charlemagnegebouw anything
prioriteren prioritise
aspecten aspects
terminologiegebruik incorporate
gerommel acquis
oordeelt communautaire
toetredend acceding
afscheidsspeech highlighted
regelmatige regular
terecht rightly
toenemende increasing
volume volume
nonentiteiten passing
via through
petten kinds
bekend known
personeelskwestie employees
sociale social
milieu environment
kanaten having
slaag stringent
relevante relevant
vastgelegd laid
bedot down
lijken seem
vooronderhandelingen sufficiently
volstond adequate
adviseren advise
organisatie organisation
screeningtesten examinations
voorkeursstatus preferred
uniforme uniform
arbeidsmarkt” modules
quasionafhankelijkheid established
waarde value
verzekeringsmarkten internationally
haalbaar feasible
slotte finally
logische logical
fijne wholehearted
oppositierol though
waardesystemen nonetheless
begaafde great
gelijkgestemdheid significance
overtuigd convinced
val fall
carrièreverloop fertile
plekke ground
betaalde paid
slechts only
contrasten dealing
maart march
nonproliferatiedoelstellingen responded
snel quickly
regeneratieve lag
weinig little
lange long
syndicaat fault
gevallen cases
samenwerkingsprogramma's countryspecific
nogal rather
sceptisch sceptical
zweden sweden
verschillenden different
duitsland germany
italië italy
oostenrijk austria
live live
werknemers… monitor
zorgvuldig carefully
ontoereikende inadequate
derde third
rack rack
landen country
speelt plays
rol role
erger worse
eenzijdig unilaterally
aspirientjes keep
beknoptheid magnificent
samenwerking cooperation
improving improving
presenteer presenting
afgaat aptitude
begrijpen understand
instellingen institutions
wuiven cooperate
samen together
huidige current
beate includes
nietletse practically
volksgezondheidsredenen harmonises
realistische realistic
uitgegeven spent
debatteert debating
kort briefly
interventies interventions
prioriteiten priorities
speelveld field
simpson simpson
proces process
winstmarges margins
‘business messrs
swoboda swoboda
ongetwijfeld doubtless
gevoelige sensitive
inspanning effort
ergste worst
restauratie margarine
parchin kilos
yastrzhembsky paint
leidde led
heuse genuine
ict’s guaranteeing
maximale maximum
verdere further
grondvoorwaarden holding
bespreken discuss
termen terms
prioriteit priority
objectieve objective
afwachten wait
omstandigheden circumstances
plymouth serve
aantonen demonstrate
urgentie urgency
effectieve effective
reactie response
waardering appreciation
sprekers speakers
“schadelijke closed
vragenronde pm
gewijzigde amending
taiex approximation
wetten laws
com com
overgangsbepalingen transitional
bepalingen provisions
geldig valid
beperkte limited
term term
geldigheid validity
ongescheiden linked
voltooiing completion
standaardisatie standardisation
cen cen
vertragingen delays
invoerheffing apply
bijlagen annexes
aangepast adapted
industriële industrial
ontwikkelingen developments
banenverlies job
amenderen amend
discussie discussion
spoornetwerken obliged
kijkcijfers brief
beminde completes
oorzaak cause
onnodige unnecessary
onzekerheid uncertainty
bouwbedrijven affect
bestaande existing
bestendigt prolongs
kennende postponing
termijnen deadlines
“overgangsregelingen” deletes
aanmonsteren applicable
“euro” lays
procedures procedures
ad ad
ad hoc
minder less
kleine small
bedragen amounts
strikt strictly
gedefinieerd defined
lokale local
bijgevolg consequently
volledige full
nieteueerlanden obtain
machten powers
opleggen impose
gesteund supported
deskundigen experts
regelgevende regulatory
oefening exercise
vila conferred
lei afresh
juni june
data dates
jongste latest
comitologie comitology
beleidsplanning relate
verwijzing reference
vroegtijdige early
marktfragmentatie recitals
verreikend worded
transparantie transparency
spiegelbeeld allows
vacuüm vacuum
tanks tanks
temperaturen temperatures
armoedegrens below
ºc ºc
speciale special
noordelijke northern
regio’s regions
bedoeld intended
olietankers tankers
dienst service
mits provided
eurorealisme constructed
gehandhaafd maintained
déze realise
collega’ colleagues
millennium millennium
spannende exciting
liefde love
stemadviezen acts
overgang transition
bedoel mean
zorg concern
bureaucratie bureaucracy
koude cold
klimaat climate
redeneertrant prevails
vervorming intrinsically
vorstbestendigheid frostresistance
ratings ratings
voldoende sufficient
bebouwing shores
middellandse mediterranean
hard hard
voorstellingsvermogen imagine
lapland lapland
lagere lower
eentiende remember
vorstschade frost
internetinhoud rating
reachnormen lowered
attentheid consideration
goedvinden permission
gastvrij begin
bewondering admiration
geëxecuteerd executed
kandidatenlijst quick
overgangsprogramma changeover
ovserapport chairmanship
kathedralen superb
vertrouwensvolle confident
europa’s europe's
bijdrage contribution
taalcentrum essentially
lastposten nuisance
fourniret whom
dankzij thanks
geavanceerder advanced
inactiviteit inactivity
laks dilatory
opschuift drawing
actieterrein adapting
lossen resolve
rechtszekerheid certainty
energieconsumerende discussing
gegevensregisters entail
veranderingen changes
puur purely
waard worth
boerderijvakanties emphasising
elk each
vooruitzichten perspective
voordelige beneficial
verruimt creates
kennistoename exploiting
garantiemogelijkheden possibilities
interne internal
referentiehoeveelheden quantities
rond around
negatie makes
bb governing
bekentenissen obtaining
neming extraordinarily
radicalen prerequisites
milieuterreinen genuinely
hielen running
concluderen conclude
eucoördinatie commenting
bankwetgeving namely
ari ari
vatanen vatanen
manieren ways
“subsidiariteit” differ
resolutieböge approving
materialen materials
verpakkingen packaging
getroffen affected
flexibele flexible
‘asielshoppen’ unambiguous
edelmoedig acknowledged
reden reason
geproduceerd produced
sont sound
verenigde united
naties nations
economische economic
adjunctdirecteurengeneraal none
uitvoeringsproblemen expeditiously
spelen play
inspanningen efforts
organisaties organisations
oppositiegroeperingen hasten
eenvoudige simple
ding thing
eba arrangement
halt stop
grenzen borders
smerig goes
oplevende beyond
aardappelmeelproductie hence
zeker certainly
verreikende farreaching
verwittigen inform
huwelijkszaken matters
staan stand
stadium stage
onderhandelingen negotiations
voedingssupplementen supplements
mediaorganisaties held
oktober october
vergde required
computerkracht carry
toestaan allow
differentiëren differentiating
elementen elements
diversiteit diversity
hongerdood ours
ogenblik moment
sprak spoke
graden degrees
nulimmigratiebeleid zero
klimaatverschuivingen climatic
soms sometimes
aankwam specifics
beton concrete
establishment establishment
klimaatverschillen characterisations
snelheid speed
deadline deadline
volksfront bit
moeilijkheden difficulties
franstalige lastly
elementaire basic
rechtvaardigt justifying
consistentie consistency
scheepsverkeer accepts
ongevallenverzekering contributions
gehaltes contained
structurele structural
fondsen funds
cohesie cohesion
fonds fund
coördinatie coordination
mededeling communication
richtsnoeren guidelines
cos cos
lezenswaardige pleasing
beschouwd regarded
koninkrijk kingdom
wales wales
status status
superster looking
watertekort alleviate
vertrouwensprobleem undoubtedly
aardbodem face
armoede poverty
groeiende growing
kloof gap
rijke rich
arme poor
ovseodihrfonds widen
herstructurering restructuring
bredere wider
verbetering improvement
heffingsgrondslag base
vorstendom principality
diep deeply
schadelijk damaging
ouderwetsheid belief
toekenning granting
bijstand assistance
succes success
regering government
erkenning recognition
bhutan faces
zijn… highlight
kwesties issues
luidst forefront
punten points
gelijkaardig relation
aanvullende additionality
ontevreden dissatisfied
cijfers figures
verborgen hidden
vk uk
onvervalst matched
financiering funding
projecten projects
uitdaging challenge
particuliere private
onwezenlijk surely
omverwerpen providing
impuls impetus
uitgaven expenditure
planning planning
uitgekeerde monies
transparante transparent
tumultueus takes
vriend friend
opvattingen views
inbreker differently
teken sign
conclusies conclusions
zijndenkproces broaden
infrastructuur infrastructure
kostenberekening locating
universiteiten universities
hogescholen colleges
onontwikkeld undeveloped
gemakkelijker easier
ondernemingsgezinde educated
binnenlandse home
districten districts
regeringen governments
decentralisatie decentralisation
hoger higher
onderwijs education
beleidsoriëntatie unquestionably
vanavond evening
ontwikkeling development
afgrenzing liked
effecten effects
elektronische electronic
koophandel commerce
gebruik use
rijkdom wealth
afhangen depend
betekent means
broodwinning livelihood
banen jobs
industrie industry
last burden
gespeculeer meaning
investeren invest
sectoren sectors
productie production
industrieën industries
redactiecomité drafting
externe external
handel trade
energie energy
vliegtuigramp representing
hernieuwbare renewable
hulpbronnen resources
beklemtoonde emphasised
ondersteuningsmechanismen renewables
minstontwikkelde scant
gecompenseerd compensated
substantiële substantial
future” sums
collega colleague
flautre flautre
werkgelegenheid employment
zaken affairs
ziek ill
volksfront people's
nrs nos
economie economy
biobrandstofprojecten financially
recyclingsystemen schemes
ontwikkelen develop
versterken strengthen
voortgestuwd viewed
potentiële potential
dienstverrichter provider
monteren fit
uitsluiting exclusion
ernstige serious
staatlozen needing
constructieve constructive
afwijzing rejection
machtige powerful
aanbod offer
naivashaproces seeking
opstelden drew
veiligheidsventiel sorely
verlag lacking
vertwijfeld desperately
voorstellen proposals
pijlers pillars
strategie strategy
velden fields
bedroefd regretted
idee idea
stevigste linking
effect effect
figaro omission
indruk impression
review review
helft half
werkgelegenheidsplannen states'annual
plannen plans
geruststellen reassure
democratiecentrum oversight
omging dealt
constructief constructively
mandaat mandate
redelijke reasonable
reprieve starting
landbouw agriculture
landelijke rural
emissiedoelstellingen indicates
uitdagingen challenges
ordehandhaving maintaining
bevolking population
suikerboer taking
overslaat owing
bronnen sources
inkomen income
samenleving society
veiligheidsgebreken deficiencies
netwerken networks
datainfrastructuren infrastructures
algemeen generally
lage low
seizoensgriep seasonal
kapitaalbewegingen lacks
verergert exacerbates
exodus exodus
consequenties consequences
inspire inspire
noordpoolbewoners disappearing
pose getting
vluchtelingenproblematiek finding
ongunstige unfavourable
hindernis obstacle
creatie creation
bijna almost
verkeerspolitici fifths
grondgebied territory
voorziet provides
driekwart quarters
boerderij farm
arbeiders workers
deeltijd parttime
vereisen require
inkomens incomes
creëren create
landbouwproducten agricultural
sport sport
cultuur culture
erfgoed heritage
instandhouding conservation
conversie conversion
bedrijven businesses
technologieën technologies
enzovoorts etc
exclusieve exclusive
verhinderen prevent
desintegratie disintegration
opdoemt ghost
steden towns
boeren farmers
leidinggeven managing
kadaster land
cultuurhistorisch preserving
biodiversiteit biodiversity
consequente consistent
melkboer dawn
“technologiekloof st
eeuw century
multifunctionele multifunctional
opening opening
nietagrarische nonagricultural
algeheel general
criteria criteria
demografische demographic
milieuevenwicht equilibrium
reuters bear
conclusie conclusion
feo thanking
veiligheidsorganisatie carried
bereidheid willingness
dialoog dialogue
compromis compromise
pasklare formulas
lawines avalanche
misschien perhaps
verwachte expected
geest spirit
nutteloos useless
nothing nothing
gebakken hot
waarheid truth
inspectiereizen drafted
revisie revision
richtlijnen directives
synergieën synergies
toepassing application
mijnneer reflected
beste best
winstgevende profitable
geleidelijke gradual
tijdbestek elimination
ongelijkheden disparities
centrale central
doeleinden purposes
snelle rapid
doeltreffende efficient
aanjagen boost
ontwikkelingsgebieden attaining
genereren generate
