resumption hervatting
important belangrijk
facts feiten
position standpunt
expressed geuit
far verre
mrs herczog
schroedter schroedter
look kijken
into geloosd
received ontvangen
firstly evaluatieonderzoek
compliment hoogachting
fact feit
kept cohesiedoelstellingen
word verkeerds
channels kanalen
offices kantoren
increased verhoogde
considerably maximumprijzen
but maar
personal persoonlijke
met ontmoet
two twee
finnish finse
portuguese portugese
no nr
dutch nederlandse
channel kanaal
able gbvbbegroting
follow volgen
news nieuws
sent gestuurd
place plaatsvinden
exile ballingschap
every iedere
month maand
therefore daarom
ensure waarborgen
get dump
well moldaviëresolutie
plooijvan plooijvan
gorsel plooijvan
tell vertellen
matter rechtsaangelegenheid
agenda agenda
quaestors'meeting plooijvan
wednesday woensdag
examined bestudeerd
positive positieve
light licht
me meemaak
does bedot
adhere medeleden
health gezondheid
safety voedselveiligheid
legislation wetgeving
actually marktgeoriënteerde
passes pasjes
air luchtkwaliteit
quality kwaliteit
test test
particular bijzonder
building gebouw
since sinds
elected gekozen
committee comité
meeting bijeenkomst
fire brand
drill tunnels
either ofwel
brussels brussel
buildings gebouwen
or of
strasbourg straatsburg
instructions instructies
staircases trappen
improved verbeterde
accident ongeluk
nosmoking antirookcampagne
areas gebieden
enforced eigenaarsrechten
seems lijkt
absolutely absoluut
disgraceful schandelijke
pass biriatoupas
ourselves onszelf
lynne lynne
check nakijken
also eveneens
refer verwijs
college college
quaestors quaestoren
am ben
certain bepaalde
they geterroriseerd
keen gebrand
comply wedstrijddeelnemers
regulations verordeningen
vote stemming
díez díez
gonzález gonzález
tabled ingediend
questions vragen
opinions adviezen
vicepresident vicevoorzitter
de rossa
palacio palacio
appeared verspreidingskanalen
spanish spaanse
newspaper krant
competent bevoegde
services diensten
included energiebeveiliging
them toe
grounds gronden
answered be
previous voorgaande
reconsider heroverwegen
previously initiator
referred verwees
intervention interventie
another ander
occasion dook
comments opmerkingen
abc abc
november november
berenguer berenguer
fuster fuster
admit inneem
present presenteren
somewhat leerzaam
confused verward
properly oostzeeaspect
message boodschap
going olivier
week week
discontent verongelijkt
over ruziën
today's coupure
decision besluit
refusing geroyeerd
renew vernieuwen
arms wapenembargo
embargo embargo
indonesia indonesië
considering overweegt
vast overgrote
majority meerderheid
endorsed actualiseert
past verleden
extremely buitenwoon
dangerous gevaarlijk
send sturen
irresponsible onverantwoordelijke
eu eu
states staten
refuse weigeren
said zei
volatile volatiel
risk risico
military militaire
coup coup
future toekomst
happening beangstigende
producers producenten
profit winstbejag
expense koste
innocent onschuldige
any enig
event gebeurtenis
presently overgecentraliseerde
among gemoedskwestie
requests gedaan”
topical regiogebonden
urgent urgente
item –hiermee
verification verificatiesysteem
final definitieve
version versie
drawn mccartneycampagne
conference conferentie
presidents voorzitters
its haar
january januari
pursuant euinstrument
rules regels
procedure procedure
amendments amendementen
proposed voorgestelde
relating insluiten
monday maandag
tuesday dinsdag
group group
party partij
socialists socialisten
commission commissie
statement verklaring
strategic strategische
objectives doelstellingen
five vijf
years jaren
administrative administratieve
reform hervorming
barón crespo
crespo crespo
speak spreek
propose stel
wishes euinspecteurs
usual gebruikelijke
hearing hoorzitting
speaker spreker
favour neoprotectionisme
against tegen
prodi prodi
political politieke
programme programma
legislature geïnitialiseerd
initially aanvankelijk
unanimously unaniem
approved goedgekeurd
september september
explicitly expliciet
accepted aanvaard
reiterated herhaald
commitment toezegging
inaugural begrotingsinnovaties
speech toespraak
body orgaan
monopoly monopolie
treaties verdragen
basically coördinatierol
dictates bok
voted gestemd
express uiten
confidence vertrouwen
did toestond
july juli
approve goedkeuren
enough genoeg
prepare bereiden
become geworden
familiar richtlijnontwerpen
explain uitleggen
citizens burgers
end eind
remind herinneren
resolution resolutie
recommended aanbevolen
soon spoedig
possible mogelijke
events gebeurtenissen
originated subtypes
outside buitenkant
being betekening
used gebruikt
simply eenvoudigweg
corroborate noemde
ratify ratificeren
decisions besluiten
taken genomen
elsewhere elders
dilemma dilemma
ready klaar
clarify opheldert
according gelang
given gelet
represented vertegenwoordigd
voting stemlijst
help hulp
could kon
let frankenstein
how hoe
agreed overeengekomen
alternatively tweekamerstelsel
some sommige
appear stilstaat
suggesting loog
opinion opinie
second tweede
hypothesis hypothese
imply nietpositieve
failure mislukking
duty plicht
introducing kostenverdeling
original oorspronkelijke
thesis weerlegt
unknown onbekende
method methode
consists duitse”
making enomomie
groups fracties
writing schriftelijk
earlier eerder
day dag
bearing china’beginsel
mind verbroedert
discussed besproken
february februari
forego slaagde
hear horen
internet internet
longer langer
worry ultraconservatieve
believes toepassingsaangelegenheden
meant betekende
listen luisteren
reflect weerspiegelen
justification rechtvaardiging
whatsoever keuren”
delay vertraging
reestablish bijstandsbureau
agreement overeenstemming
between tussen
proceed fruitproducten
manner leerzaam
fulfils onderstreping
fellow medeburgers
mentioned genoemd
otherwise daarnaartoe
find vind
paradoxical paradoxaal
pretext voorwendsel
text tekst
hand intolerante
denied ontkend
knowledge kennis
texts teksten
based gebaseerd
issue discussiepunt
applause applaus
pse psefractie
above bovenal
absolute absolute
respect respect
amongst communicatieprocedures
establishing frederika
whatever verkiezingscrisis
decide beslissen
introduce introduceren
reminded herinnerd
addition toevoeging
annual jaarlijkse
broad brede
action actie
say zeggen
reached maximumprijs
distinguished erkki
prepared voorbereid
hold klampen
whenever ongelijkwaardige
convenient waardedaling
originally oorspronkelijk
parliamentary parlementaire
repeat herhaal
debated gedebatteerd
plan actieplan
decides kernregulators
fully uitenterna
upon verschil…
ripple filigraanwerk
laughter gelach
told vertelde
large kwijtingsoperatie
sections festival
socialist socialistische
off buiten
working gewerkt
responsible verantwoordelijke
correct correcte
ppede higgins
grateful dankbaar
removed wrikte
addressed friedmann
several meerdere
times tijden
tax belastingfraude
moves voortuin
poettering poettering
wurtz wurtz
speaking doceert
lack gebrek
logic logica
preaching parochie
went overgestapt
back teruggaan
perfectly speld
doing procentfilosofie
same dezelfde
unanimous unanieme
exception uitzondering
ppe ppecoalitie
eldr eldrfractie
chairmen parlementscommissies
recall borsa
even ook
knowing kennend
tobin tobintaks
dared aangedurfd
council raad
thought dachten
lot draaiend
oral mondelinge
retained bewaarde
bodies organen
regarding begrotingssaldo
relatively relatief
modest bescheiden
give versaag
after nadat
tide getij
feeling gevoel
generated gegenereerd
seattle seattle
capital hoofdstad
withdrawn ingetrokken
rejected verworpen
votes “nee”stemmen
abstentions onthoudingen
advertising reclame
counted geteld
unable alfabetiseringsniveau
electronically elektronisch
card identiteitskaart
add toevoegen
declared ongevoeliger
themselves zichzelf
result resultaat
presidency raadsvoorzitterschap
room woonkamer
ladies dames
gentlemen heren…
see zie
essential essentieel
bring involveren
cards cardsprogramma
along sprekersvolgorde
clearly opzichtig
problem probleem
forgot vergat
consider overwegen
per per
allowances begrotingstoelagen
forgotten ontschoten
noted temperatuurstijgingen
understood begrepen
applausethe applausja
remain grondwetshervormingen
entitled getiteld
forget vergeten
continue voortzetten
abide ordinary
ruling oppressieve
indicated aangewezen
advance vooruitbetalen
happen gebeuren
appreciate waardeer
close nauwe
business grootkapitaal
might cynicus
allowed heiligen
explanation stemverklaring
useful nuttige
record optekenen
state staatssteun
perceive veranderingskracht
own eigen
analysis analyse
reopen heropenen
asked gevraagd
floor handelsbeurs
comment reactie
crespo's conventievoorzitter
motion motie
leave laten
terribly speet
sorry spijt
hänsch hänsch
cox cox
asking “ethiopië”
think denk
entered leerwezen
minutes minuten
adopt aannemen
today vandaag
sitting overdadige
tomorrow morgen
explained uitgelegd
workable handzame
solution oplossing
take nemen
account rekening
additional aanvullende
explanations stemverklaringen
better verbeteren
than dan
proceeding schrijdt
timeconsuming tijdrovende
acceptable aanvaardbaar
records strafregisters
correctly correct
cannot mógen
object bezwaar
accept accepteren
reservations bedenkingen
pay betalen
wording formulering
necessary noodzakelijke
thus corrumpeert
amended geamendeerde
advisers hoofdadviseurs
transport vervoer
goods goederen
koch koch
regional regionale
tourism toerisme
view beschouwing
adopting “dialoog”
directive richtlijn
harmonisation harmonisatie
examination vooruitkijkend
requirements vereisten
road verkeersveiligheid
rail spoorvervoer
inland binnenwateren
waterways waterwegen
c c
cod cod
commissioner commissaris
frank abliek
saying gezegde
welcome verwelkom
council's halfzacht
harmonising harmoniseren
training opleiding
waterway binnenvaart
needed uitvoeringsverordeningen
formal formele
level niveau
ec eg
obliges inleggen
appoint benoemen
organise organiseren
instruction geroyeerd
secondly tweede
achieve bereiken
increase verhoging
both zowel
transported vervoerd
transhipped spp
b b
distortions marktverstoringen
competition concurrentie
resulting verhogingspercentage
wide reservoirs
variations variaties
national nationale
structures structuren
costs kosten
equal gelijke
opportunities kansen
labour labour’
market markt
thirdly derde
currently momenteel
stands bommenwerpers
guarantees garanties
confines kantoorsfeer
itself zichzelf
exclusively exclusief
minimum minimale
standards normen
high hoge
degree vervuilend
flexibility flexibiliteit
regulation verordening
contribute bijdragen
states'bearing vastleggen
individual individuele
responsibility verantwoordelijkheid
subsidiarity subsidiariteit
greatly wetenschaps
welcomed verwelkomd
reading lezing
satisfactorily kwestieturkijecyprus
transposed omgezet
change verandering
substance stof
corresponding overeenkomstig
arrangements voorzieningsregeling
example voorbeeld
system systeem
violations schendingen
complex complexe
classification classificatie
structure structuur
related aanverwante
amendment amendement
concerns bezorgdheid
timetable tijdschema
implementing uitvoeringsbevoegdheden
urge dring
support steun
specific specifieke
implement uitvoer
instead contrasteert
giving begrotingstoelagen
three drie
entry inwerkingtreding
force interventiemacht
clause clausule
ensures woordgebruik
implemented geïmplementeerd
without zonder
endorse afsplitsing
must opvolgt
ever ooit
frequently verkies
accidents ongevallen
causing grillige
major grootverbruiker
damage schade
roads wegen
railways spoorwegen
least minst
partly grondwaterkwestie
involved betrokken
seriously serieus
ignorance onwetendheid
part onderdeel
drivers chauffeurs
others anderen
vehicles voertuigen
minor onbetekenend
often vaak
disaster ramp
austrian oostenrijkse
vivid gedenkdag
memory geheugen
catastrophe catastrofe
cost kostten
human menselijke
lives levens
tauern tauerntunnel
tunnel tunnel
where alwaar
subsequent daaropvolgende
work werk
rebuild hernemen
parts delen
destroyed verwoest
continued pressure
huge voetbalculturen
renovation renovatie
project project
lasted boumedienne
cut verbraken
route route
north noorden
south zuiden
europe europa
traffic verkeersgegevens
diverted afraakten
stretched uitgerekt
patience geduld
thousands duizenden
limit limiet
hell hel
broke mislukten
loose losse
municipalities gemeenten
province provincie
prevention preventie
answer antwoord
step stap
towards isolationistisch
welltrained mededingingsraad
available beschikking
good goede
content inhoud
enacting betalingsbevelprocedure
law wet
greater grotere
need noodzaak
sure coderen
importantly allerbelangrijkst
applied toegepast
afterwards laaide
yet ps
sector sector
subsequently begrotingsplafonds
lament klaagt
enforcement handhaving
address sleutelvraag
sealing afscherming
hole marktvolume
net netto
shutting herstructureringsperiode
eyes aap
context context
table onderhandelingstafel
continuing overpeinzing
safer veiliger
transit doorvoerland
tunnels tunnels
experience ervaring
such zulk
scale grootschaligheid
heart hart
looks eruitziet
advisors adviseurs
transportation dierenvervoer
congratulate feliciteer
excellent uitstekende
sadly veelvoorkomend
paddington treinongeluk
crash neerstorten
london londen
norway noorwegen
aviation luchtvaart
crashes concorde
involving coördinatieconferentie
erika erika
brittany bretagne
within binnen
four vier
never nooit
granted beval
charged mastercard
protecting waterinitiatief
highly brisante
motivated pourgouridesverslag
qualified gekwalificeerde
rapporteur rapporteur
pointed aangaven
six zes
ten tien
put zetten
forward voorwaarts
enactment completering
provide verstrekken
tool tool
fight strijd
safe veilige
initiatives initiatieven
improve verbeteren
area ruimte
recent recente
proved mahatma
exceptionally langstlopende
accurate accurate
technical technische
submitted drnovšek
pity presentieniveau
sense verstand
needless tvjournalisten
key sleutelrol
importance belang
international internationale
nature natuur
types typen
harmonised geharmoniseerde
adr verhaalmogelijkheden
under onder
way manier
reasons redenen
occurred aangemaakt
belgium belgië
netherlands nederland
lorries vrachtwagens
carrying “essen”projecten
drive drive
foggy lozingsinstallaties
conditions voorwaarden
really echt
pulled neergehaald
ships schepen
eastern oostelijke
moor dollands
adjacent veiligheidsniveaus
obvious liggende
risks risico
entails juridisering
furthermore kernfusiereactor
transpired loterijwinnares
research onderzoek
ports havens
finland finland
japan japan
containers containers
partially aardgasmarkt
cargo namaakmerkgoederen
delivered betekening
shipment “tegenstrijdigheden
short korte
compulsory dwanglicenties
employ vluchtelingenbescherming
companies bedrijven
problems problemen
enforcing informatiecommissie
especially pressure
smaller kleinere
afford permitteren
dispose bandenvoorraden
mix energiemix
causes oorzaken
iso isonorm
certificates beroepsbekwaamheid
include omvatten
finer detailkwesties
details details
activities activiteiten
reports verslagen
company bedrijf
analyses analyses
remains blijft
mention calvinist
regard uitenterna
proper monologen
agreements overeenkomsten
concluded geconcludeerd
enter binnenrijdt
deal conglomeraten
until totdat
eighteen kernfysicus
months'time gangbare
gives uitbreidingspakket
competitive concurrerende
edge snede
interim interimregering
anything charlemagnegebouw
prioritise prioriteren
aspects aspecten
incorporate terminologiegebruik
acquis gerommel
communautaire oordeelt
acceding toetredend
highlighted afscheidsspeech
regular regelmatige
rightly terecht
increasing toenemende
volume volume
passing nonentiteiten
through via
kinds petten
known bekend
employees personeelskwestie
social sociale
environment milieu
having kanaten
stringent slaag
relevant relevante
laid vastgelegd
down bedot
seem lijken
sufficiently vooronderhandelingen
adequate volstond
advise adviseren
organisation organisatie
examinations screeningtesten
preferred voorkeursstatus
uniform uniforme
modules arbeidsmarkt”
established quasionafhankelijkheid
value waarde
internationally verzekeringsmarkten
feasible haalbaar
finally slotte
logical logische
wholehearted fijne
though oppositierol
nonetheless waardesystemen
great begaafde
significance gelijkgestemdheid
convinced overtuigd
fall val
fertile carrièreverloop
ground plekke
paid betaalde
only slechts
dealing contrasten
march maart
responded nonproliferatiedoelstellingen
quickly snel
lag regeneratieve
little weinig
long lange
fault syndicaat
cases gevallen
countryspecific samenwerkingsprogramma's
rather nogal
sceptical sceptisch
sweden zweden
different verschillenden
germany duitsland
italy italië
austria oostenrijk
live live
monitor werknemers…
carefully zorgvuldig
inadequate ontoereikende
third derde
rack rack
country landen
plays speelt
role rol
worse erger
unilaterally eenzijdig
keep aspirientjes
magnificent beknoptheid
cooperation samenwerking
improving improving
presenting presenteer
aptitude afgaat
understand begrijpen
institutions instellingen
cooperate wuiven
together samen
current huidige
includes beate
practically nietletse
harmonises volksgezondheidsredenen
realistic realistische
spent uitgegeven
debating debatteert
briefly kort
interventions interventies
priorities prioriteiten
field speelveld
simpson simpson
process proces
margins winstmarges
messrs ‘business
swoboda swoboda
doubtless ongetwijfeld
sensitive gevoelige
effort inspanning
worst ergste
margarine restauratie
kilos parchin
paint yastrzhembsky
led leidde
genuine heuse
guaranteeing ict’s
maximum maximale
further verdere
holding grondvoorwaarden
discuss bespreken
terms termen
priority prioriteit
objective objectieve
wait afwachten
circumstances omstandigheden
serve plymouth
demonstrate aantonen
urgency urgentie
effective effectieve
response reactie
appreciation waardering
speakers sprekers
closed “schadelijke
pm vragenronde
amending gewijzigde
approximation taiex
laws wetten
com com
transitional overgangsbepalingen
provisions bepalingen
valid geldig
limited beperkte
term term
validity geldigheid
linked ongescheiden
completion voltooiing
standardisation standaardisatie
cen cen
delays vertragingen
apply invoerheffing
annexes bijlagen
adapted aangepast
industrial industriële
developments ontwikkelingen
job banenverlies
amend amenderen
discussion discussie
obliged spoornetwerken
brief kijkcijfers
completes beminde
cause oorzaak
unnecessary onnodige
uncertainty onzekerheid
affect bouwbedrijven
existing bestaande
prolongs bestendigt
postponing kennende
deadlines termijnen
deletes “overgangsregelingen”
applicable aanmonsteren
lays “euro”
procedures procedures
ad ad
hoc ad
less minder
small kleine
amounts bedragen
strictly strikt
defined gedefinieerd
local lokale
consequently bijgevolg
full volledige
obtain nieteueerlanden
powers machten
impose opleggen
supported gesteund
experts deskundigen
regulatory regelgevende
exercise oefening
conferred vila
afresh lei
june juni
dates data
latest jongste
comitology comitologie
relate beleidsplanning
reference verwijzing
early vroegtijdige
recitals marktfragmentatie
worded verreikend
transparency transparantie
allows spiegelbeeld
vacuum vacuüm
tanks tanks
temperatures temperaturen
below armoedegrens
ºc ºc
special speciale
northern noordelijke
regions regio’s
intended bedoeld
tankers olietankers
service dienst
provided mits
constructed eurorealisme
maintained gehandhaafd
realise déze
colleagues collega’
millennium millennium
exciting spannende
love liefde
acts stemadviezen
transition overgang
mean bedoel
concern zorg
bureaucracy bureaucratie
cold koude
climate klimaat
prevails redeneertrant
intrinsically vervorming
frostresistance vorstbestendigheid
ratings ratings
sufficient voldoende
shores bebouwing
mediterranean middellandse
hard hard
imagine voorstellingsvermogen
lapland lapland
lower lagere
remember eentiende
frost vorstschade
rating internetinhoud
lowered reachnormen
consideration attentheid
permission goedvinden
begin gastvrij
admiration bewondering
executed geëxecuteerd
quick kandidatenlijst
changeover overgangsprogramma
chairmanship ovserapport
superb kathedralen
confident vertrouwensvolle
europe's europa’s
contribution bijdrage
essentially taalcentrum
nuisance lastposten
whom fourniret
thanks dankzij
advanced geavanceerder
inactivity inactiviteit
dilatory laks
drawing opschuift
adapting actieterrein
resolve lossen
certainty rechtszekerheid
discussing energieconsumerende
entail gegevensregisters
changes veranderingen
purely puur
worth waard
emphasising boerderijvakanties
each elk
perspective vooruitzichten
beneficial voordelige
creates verruimt
exploiting kennistoename
possibilities garantiemogelijkheden
internal interne
quantities referentiehoeveelheden
around rond
makes negatie
governing bb
obtaining bekentenissen
extraordinarily neming
prerequisites radicalen
genuinely milieuterreinen
running hielen
conclude concluderen
commenting eucoördinatie
namely bankwetgeving
ari ari
vatanen vatanen
ways manieren
differ “subsidiariteit”
approving resolutieböge
materials materialen
packaging verpakkingen
affected getroffen
flexible flexibele
unambiguous ‘asielshoppen’
acknowledged edelmoedig
reason reden
produced geproduceerd
sound sont
united verenigde
nations naties
economic economische
none adjunctdirecteurengeneraal
expeditiously uitvoeringsproblemen
play spelen
efforts inspanningen
organisations organisaties
hasten oppositiegroeperingen
simple eenvoudige
thing ding
arrangement eba
stop halt
borders grenzen
goes smerig
beyond oplevende
hence aardappelmeelproductie
certainly zeker
farreaching verreikende
inform verwittigen
matters huwelijkszaken
stand staan
stage stadium
negotiations onderhandelingen
supplements voedingssupplementen
held mediaorganisaties
october oktober
required vergde
carry computerkracht
allow toestaan
differentiating differentiëren
elements elementen
diversity diversiteit
ours hongerdood
moment ogenblik
spoke sprak
degrees graden
zero nulimmigratiebeleid
climatic klimaatverschuivingen
sometimes soms
specifics aankwam
concrete beton
establishment establishment
characterisations klimaatverschillen
speed snelheid
deadline deadline
bit volksfront
difficulties moeilijkheden
lastly franstalige
basic elementaire
justifying rechtvaardigt
consistency consistentie
accepts scheepsverkeer
contributions ongevallenverzekering
contained gehaltes
structural structurele
funds fondsen
cohesion cohesie
fund fonds
coordination coördinatie
communication mededeling
guidelines richtsnoeren
cos cos
pleasing lezenswaardige
regarded beschouwd
kingdom koninkrijk
wales wales
status status
looking superster
alleviate watertekort
undoubtedly vertrouwensprobleem
face aardbodem
poverty armoede
growing groeiende
gap kloof
rich rijke
poor arme
widen ovseodihrfonds
restructuring herstructurering
wider bredere
improvement verbetering
base heffingsgrondslag
principality vorstendom
deeply diep
damaging schadelijk
belief ouderwetsheid
granting toekenning
assistance bijstand
success succes
government regering
recognition erkenning
faces bhutan
highlight zijn…
issues kwesties
forefront luidst
points punten
relation gelijkaardig
additionality aanvullende
dissatisfied ontevreden
figures cijfers
hidden verborgen
uk vk
matched onvervalst
funding financiering
projects projecten
challenge uitdaging
private particuliere
surely onwezenlijk
providing omverwerpen
impetus impuls
expenditure uitgaven
planning planning
monies uitgekeerde
transparent transparante
takes tumultueus
friend vriend
views opvattingen
differently inbreker
sign teken
conclusions conclusies
broaden zijndenkproces
infrastructure infrastructuur
locating kostenberekening
universities universiteiten
colleges hogescholen
undeveloped onontwikkeld
easier gemakkelijker
educated ondernemingsgezinde
home binnenlandse
districts districten
governments regeringen
decentralisation decentralisatie
higher hoger
education onderwijs
unquestionably beleidsoriëntatie
evening vanavond
development ontwikkeling
liked afgrenzing
effects effecten
electronic elektronische
commerce koophandel
use gebruik
wealth rijkdom
depend afhangen
means betekent
livelihood broodwinning
jobs banen
industry industrie
burden last
meaning gespeculeer
invest investeren
sectors sectoren
production productie
industries industrieën
drafting redactiecomité
external externe
trade handel
energy energie
representing vliegtuigramp
renewable hernieuwbare
resources hulpbronnen
emphasised beklemtoonde
renewables ondersteuningsmechanismen
scant minstontwikkelde
compensated gecompenseerd
substantial substantiële
sums future”
colleague collega
flautre flautre
employment werkgelegenheid
affairs zaken
ill ziek
people's volksfront
nos nrs
economy economie
financially biobrandstofprojecten
schemes recyclingsystemen
develop ontwikkelen
strengthen versterken
viewed voortgestuwd
potential potentiële
provider dienstverrichter
fit monteren
exclusion uitsluiting
serious ernstige
needing staatlozen
constructive constructieve
rejection afwijzing
powerful machtige
offer aanbod
seeking naivashaproces
drew opstelden
sorely veiligheidsventiel
lacking verlag
desperately vertwijfeld
proposals voorstellen
pillars pijlers
strategy strategie
fields velden
regretted bedroefd
idea idee
linking stevigste
effect effect
omission figaro
impression indruk
review review
half helft
states'annual werkgelegenheidsplannen
plans plannen
reassure geruststellen
oversight democratiecentrum
dealt omging
constructively constructief
mandate mandaat
reasonable redelijke
starting reprieve
agriculture landbouw
rural landelijke
indicates emissiedoelstellingen
challenges uitdagingen
maintaining ordehandhaving
population bevolking
taking suikerboer
owing overslaat
sources bronnen
income inkomen
society samenleving
deficiencies veiligheidsgebreken
networks netwerken
infrastructures datainfrastructuren
generally algemeen
low lage
seasonal seizoensgriep
lacks kapitaalbewegingen
exacerbates verergert
exodus exodus
consequences consequenties
inspire inspire
disappearing noordpoolbewoners
getting pose
finding vluchtelingenproblematiek
unfavourable ongunstige
obstacle hindernis
creation creatie
almost bijna
fifths verkeerspolitici
territory grondgebied
provides voorziet
quarters driekwart
farm boerderij
workers arbeiders
parttime deeltijd
require vereisen
incomes inkomens
create creëren
agricultural landbouwproducten
sport sport
culture cultuur
heritage erfgoed
conservation instandhouding
conversion conversie
businesses bedrijven
technologies technologieën
etc enzovoorts
exclusive exclusieve
prevent verhinderen
disintegration desintegratie
ghost opdoemt
towns steden
farmers boeren
managing leidinggeven
land kadaster
preserving cultuurhistorisch
biodiversity biodiversiteit
consistent consequente
dawn melkboer
st “technologiekloof
century eeuw
multifunctional multifunctionele
opening opening
nonagricultural nietagrarische
general algeheel
criteria criteria
demographic demografische
equilibrium milieuevenwicht
bear reuters
conclusion conclusie
thanking feo
carried veiligheidsorganisatie
willingness bereidheid
dialogue dialoog
compromise compromis
formulas pasklare
avalanche lawines
perhaps misschien
expected verwachte
spirit geest
useless nutteloos
nothing nothing
hot gebakken
truth waarheid
drafted inspectiereizen
revision revisie
directives richtlijnen
synergies synergieën
application toepassing
reflected mijnneer
best beste
profitable winstgevende
gradual geleidelijke
elimination tijdbestek
disparities ongelijkheden
central centrale
purposes doeleinden
rapid snelle
efficient doeltreffende
boost aanjagen
attaining ontwikkelingsgebieden
generate genereren
